Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CYLC2		1	1	200	0.5%	No
CYLC1		3	3	597	0.5%	No
CSTPP1		2	2	1525	0.1%	No
SELPLG		4	4	747	0.5%	No
MRPS30		1	1	200	0.5%	No
IGKC		1	1	200	0.5%	No
FHIP1A		4	4	1525	0.3%	No
FHIP1B		2	2	350	0.6%	No
RAE1		1	1	200	0.5%	No
DYNC1I1		2	2	1525	0.1%	No
MAP3K2		2	2	200	1.0%	No
DYNC1H1		5	5	597	0.8%	No
MAP3K1		2	2	1525	0.1%	Yes
PEX19		1	1	200	0.5%	No
GAD1		1	1	200	0.5%	No
KLHL1		2	2	1525	0.1%	No
KLHL2		3	3	597	0.5%	No
PEX10		2	2	1525	0.1%	No
KLHL3		2	2	1525	0.1%	No
KLHL4		3	3	1725	0.2%	No
KCNRG		1	1	200	0.5%	No
PEX13		3	3	597	0.5%	No
KLHL9		4	4	1725	0.2%	No
PDCL3		3	3	597	0.5%	No
TFAP4		2	2	1525	0.1%	No
KLHL5		1	1	200	0.5%	No
FHIP2A		1	1	200	0.5%	No
FHIP2B		2	2	1525	0.1%	No
KCNS2		1	1	200	0.5%	No
KLHL7		6	5	200	2.5%	No
RAD1		1	1	200	0.5%	No
TACC2		5	5	597	0.8%	No
MAMLD1		11	11	1725	0.6%	No
OR1C1		1	1	200	0.5%	No
INPPL1		4	4	1525	0.3%	Yes
PLB1		1	1	200	0.5%	No
TGM1		4	4	1525	0.3%	No
ZNF81		1	1	200	0.5%	No
DMBT1		4	4	1525	0.3%	No
PPIP5K1		1	1	200	0.5%	No
PLAU		2	2	1525	0.1%	No
ZNF83		1	1	200	0.5%	No
ZNF85		2	2	1525	0.1%	No
ENPP2		1	1	200	0.5%	No
ENPP1		2	2	1525	0.1%	No
RXYLT1		2	2	350	0.6%	No
TGM7		4	4	1725	0.2%	No
DENND5A		1	1	200	0.5%	No
ENPP3		1	1	200	0.5%	No
TGM5		1	1	200	0.5%	No
ENPP6		1	1	200	0.5%	No
TGM4		1	1	200	0.5%	No
RAG1		3	3	1725	0.2%	No
TGM2		1	1	200	0.5%	No
MSX2		1	1	200	0.5%	No
ZGRF1		6	6	1525	0.4%	No
ADAM11		6	6	597	1.0%	No
ZNF98		2	2	1525	0.1%	No
ZNF99		3	3	597	0.5%	No
SDHD		2	2	1525	0.1%	Yes
SDHA		5	5	1525	0.3%	Yes
ADAM19		1	1	200	0.5%	No
ADAM18		4	4	1725	0.2%	No
ZNF90		1	1	200	0.5%	No
ZNF91		1	1	150	0.7%	No
BRMS1		5	5	747	0.7%	No
ADAM15		2	2	1525	0.1%	No
PSPC1		1	1	200	0.5%	No
ADAM12		6	6	1725	0.3%	No
DNAJB11		2	2	1525	0.1%	No
CARD18		3	3	597	0.5%	No
PLAA		1	1	200	0.5%	No
CARD14		3	3	1525	0.2%	No
OR1A2		1	1	200	0.5%	No
DIPK1B		1	1	200	0.5%	No
PLD5		1	1	200	0.5%	No
PLD4		2	2	1525	0.1%	No
DAPP1		1	1	200	0.5%	No
HTRA2		1	1	150	0.7%	No
PLD1		3	3	1725	0.2%	No
PLD3		4	4	1525	0.3%	No
GRK1		2	2	1525	0.1%	No
RAI1		5	5	1725	0.3%	No
KCNV1		2	2	1525	0.1%	No
GRK2		5	5	2122	0.2%	No
GRK5		2	2	200	1.0%	No
GRK7		3	3	1725	0.2%	No
FGF23		2	2	1525	0.1%	Yes
PIBF1		1	1	200	0.5%	No
FGF21		1	1	200	0.5%	No
SPATA31A3		3	2	200	1.0%	No
CHCHD10		2	2	1525	0.1%	No
IGF2R		1	1	200	0.5%	No
SDK1		11	11	2272	0.5%	No
FGF13		3	3	1725	0.2%	No
SDK2		4	4	597	0.7%	No
FGF11		1	1	200	0.5%	No
FGF10		1	1	200	0.5%	Yes
ZMYND15		1	1	200	0.5%	No
TAT		1	1	200	0.5%	No
OR1G1		1	1	200	0.5%	No
CFAP107		2	2	1525	0.1%	No
MYSM1		4	3	1725	0.2%	No
GRM1		3	3	1725	0.2%	No
PITPNC1		1	1	200	0.5%	No
GRM3		14	14	2122	0.7%	Yes
GRM2		3	3	1725	0.2%	No
IFT52		1	1	200	0.5%	No
GRM5		2	2	1525	0.1%	No
CA1		1	1	200	0.5%	No
LASP1		1	1	200	0.5%	Yes
GRM4		7	7	1725	0.4%	No
CA3		2	2	1525	0.1%	No
ZIC2		6	6	1525	0.4%	No
CA2		2	2	1525	0.1%	No
ZIC3		7	7	1525	0.5%	No
GRM6		1	1	200	0.5%	No
GRM8		9	9	2122	0.4%	No
CA9		2	2	200	1.0%	No
MYBL2		1	1	200	0.5%	No
IFT56		3	3	597	0.5%	No
SUN1		1	1	200	0.5%	No
TBP		2	2	1525	0.1%	No
ATP6AP2		5	5	2122	0.2%	No
CAD		3	3	1725	0.2%	Yes
HUNK		8	8	1525	0.5%	No
SUN5		2	2	1525	0.1%	No
ELF1		4	4	597	0.7%	No
ELF2		2	2	1525	0.1%	No
ELF4		5	5	597	0.8%	Yes
CAT		1	1	200	0.5%	No
SPATA31D1		1	1	200	0.5%	No
ZMYND10		4	4	597	0.7%	No
DIPK2A		1	1	200	0.5%	No
SHANK3		3	3	1675	0.2%	No
SHANK2		4	4	1525	0.3%	No
PLEC		4	4	747	0.5%	No
SHANK1		4	4	597	0.7%	No
RALA		2	2	200	1.0%	No
IGLV3-1		7	4	1725	0.2%	No
CBL		37	37	2122	1.7%	Yes
PSMB10		1	1	200	0.5%	No
IFT74		5	5	200	2.5%	No
IL1RL2		3	3	597	0.5%	No
NWD1		3	3	1725	0.2%	No
NWD2		5	5	2122	0.2%	No
SV2B		1	1	200	0.5%	No
OXCT1		1	1	200	0.5%	No
SV2A		2	2	350	0.6%	No
TDG		1	1	150	0.7%	No
CLVS2		3	3	597	0.5%	No
DROSHA		8	8	2122	0.4%	Yes
RALY		1	1	200	0.5%	No
SLIT2		6	6	200	3.0%	Yes
MTA2		18	18	2122	0.8%	No
SPATA31E1		2	2	1525	0.1%	No
HSD3B1		4	4	597	0.7%	Yes
ZIC4		3	3	1725	0.2%	No
HS3ST5		3	3	1675	0.2%	No
ZIC5		2	2	1525	0.1%	No
SUOX		1	1	200	0.5%	No
HS3ST4		1	1	200	0.5%	No
TBX18		3	3	597	0.5%	No
WARS1		1	1	200	0.5%	No
WARS2		1	1	200	0.5%	No
TBX15		3	3	597	0.5%	No
CD4		1	1	200	0.5%	No
TEC		1	1	200	0.5%	Yes
NOPCHAP1		1	1	200	0.5%	No
TEK		5	5	597	0.8%	Yes
SPATA31F1		4	4	1525	0.3%	No
IPO13		1	1	200	0.5%	No
IPO11		3	3	200	1.5%	No
FRMPD3		9	9	2122	0.4%	No
CLEC10A		1	1	200	0.5%	No
CWH43		3	3	200	1.5%	No
MSANTD4		1	1	200	0.5%	No
RRP9		2	2	1525	0.1%	No
ALCAM		1	1	200	0.5%	No
ZSCAN31		1	1	200	0.5%	No
SCN11A		4	4	1525	0.3%	No
HOMER3		2	2	1525	0.1%	No
VPS39		1	1	200	0.5%	No
PRKCG		3	3	597	0.5%	No
MBNL2		1	1	200	0.5%	No
TAAR8		1	1	200	0.5%	No
PRKCB		2	2	1525	0.1%	No
TAAR9		1	1	200	0.5%	No
DNAAF2		1	1	150	0.7%	No
PRKCE		2	2	1525	0.1%	No
TAAR6		1	1	200	0.5%	No
CLEC11A		3	3	1725	0.2%	No
DNAAF5		2	2	1525	0.1%	No
GANC		3	3	597	0.5%	No
DNAAF9		1	1	200	0.5%	No
NUP93		3	3	597	0.5%	Yes
BCAN		3	3	597	0.5%	No
BCAM		1	1	200	0.5%	No
SCN10A		1	1	200	0.5%	No
ZSCAN20		2	1	200	0.5%	No
DAAM1		1	1	200	0.5%	No
IGKV1-27		1	1	200	0.5%	No
DAAM2		7	7	2122	0.3%	No
PRKD3		3	3	597	0.5%	No
KRTAP4-12		2	2	1525	0.1%	No
HECW2		5	5	1725	0.3%	No
HECW1		12	12	2122	0.6%	No
ZSCAN21		1	1	200	0.5%	No
PRKCQ		1	1	200	0.5%	No
PRKD2		3	2	200	1.0%	No
SRFBP1		1	1	200	0.5%	No
NUP98		10	10	1725	0.6%	Yes
PRKD1		2	2	350	0.6%	Yes
ZSCAN25		1	1	200	0.5%	No
FREM1		5	5	1725	0.3%	No
FREM2		10	10	597	1.7%	No
CFB		2	2	400	0.5%	No
FREM3		3	3	1525	0.2%	No
PRKDC		1	1	200	0.5%	Yes
CFP		4	4	1525	0.3%	No
SDSL		2	2	200	1.0%	No
PRKCZ		2	2	1525	0.1%	No
NUP85		1	1	200	0.5%	No
PRDM16		5	5	597	0.8%	Yes
GAR1		2	2	1525	0.1%	No
NUP88		2	2	350	0.6%	No
ST3GAL2		2	2	350	0.6%	No
ST3GAL3		1	1	200	0.5%	No
PLK4		5	5	1525	0.3%	No
LRRC37A3		4	4	1525	0.3%	No
BTF3		1	1	200	0.5%	No
NFE2		11	11	1675	0.7%	Yes
PLK2		1	1	200	0.5%	Yes
CGN		4	4	597	0.7%	No
MEX3C		3	3	1525	0.2%	No
MEX3B		3	3	597	0.5%	No
GTF2IRD1		1	1	200	0.5%	No
BPIFC		16	15	1725	0.9%	No
DENND1C		7	7	1725	0.4%	No
BTG4		1	1	200	0.5%	No
SETD5		4	4	1725	0.2%	Yes
SETD2		14	14	2272	0.6%	Yes
CDKN1B		2	2	1525	0.1%	Yes
BTG1		1	1	200	0.5%	Yes
MOCS3		1	1	200	0.5%	No
SETD3		1	1	200	0.5%	Yes
DENND1A		4	4	1525	0.3%	No
SETD7		2	2	1525	0.1%	Yes
CHM		2	2	200	1.0%	No
ASGR2		2	2	200	1.0%	No
ADAMTSL1		10	10	2122	0.5%	No
ADAMTSL4		2	2	1525	0.1%	No
ADAMTSL3		2	2	1525	0.1%	No
DENND10		1	1	200	0.5%	No
RRP12		3	3	1725	0.2%	No
CIC		4	4	597	0.7%	Yes
DENND2C		1	1	200	0.5%	No
DENND2B		1	1	200	0.5%	No
DENND2A		1	1	200	0.5%	No
COPZ2		2	2	1525	0.1%	No
ASH1L		1	1	200	0.5%	No
COPZ1		1	1	200	0.5%	No
CIT		3	3	200	1.5%	No
MTF1		2	2	1525	0.1%	No
PLIN4		2	2	1525	0.1%	No
EXOC4		1	1	200	0.5%	No
RARA		1	1	150	0.7%	Yes
PLIN3		3	3	1675	0.2%	No
ANGPTL2		3	3	1725	0.2%	No
SINHCAF		2	2	1525	0.1%	No
GAS6		5	5	1525	0.3%	No
GART		1	1	200	0.5%	No
GAS8		3	3	1675	0.2%	No
ANGPTL1		4	4	1525	0.3%	No
GAS7		1	1	200	0.5%	Yes
NFIX		9	7	1725	0.4%	No
PRUNE2		7	7	597	1.2%	No
DCAF12L1		2	2	1525	0.1%	No
PAPSS2		4	4	1725	0.2%	No
SLC9B1P1		6	6	1525	0.4%	No
PAPSS1		1	1	200	0.5%	No
OLFML3		3	3	597	0.5%	No
APOL1		1	1	200	0.5%	No
CDKN2D		1	1	200	0.5%	No
BCHE		3	3	597	0.5%	No
HIPK4		1	1	200	0.5%	No
CDKN2A		3	3	1525	0.2%	Yes
MOCOS		5	5	1875	0.3%	No
ELP1		1	1	200	0.5%	No
ELP2		1	1	200	0.5%	Yes
SNCAIP		11	11	2122	0.5%	Yes
ELP5		1	1	200	0.5%	No
HIPK2		1	1	150	0.7%	No
NFIA		12	8	1525	0.5%	No
NFIC		5	5	1725	0.3%	No
PLP1		3	3	200	1.5%	No
PLP2		1	1	200	0.5%	No
COQ8A		1	1	200	0.5%	No
TNC		18	17	2122	0.8%	No
PODNL1		2	2	1525	0.1%	No
TNN		5	5	1725	0.3%	No
CFL2		2	2	200	1.0%	No
TNR		6	6	1725	0.3%	No
OIP5		2	2	1525	0.1%	No
GTF2I		2	2	1525	0.1%	Yes
MAP2K4		2	2	1525	0.1%	Yes
COL27A1		4	4	597	0.7%	No
RALGAPA1		1	1	200	0.5%	No
RALGAPA2		6	6	2122	0.3%	No
SKIDA1		4	4	1525	0.3%	No
DIO2		3	3	597	0.5%	No
GTF3A		3	3	597	0.5%	No
LARP4B		5	5	2122	0.2%	Yes
FAM91A1		2	2	1525	0.1%	No
LEMD2		1	1	200	0.5%	No
TOM1L2		1	1	200	0.5%	No
MTNR1A		1	1	200	0.5%	No
OBSCN		7	6	747	0.8%	No
MTNR1B		2	2	1525	0.1%	No
FKBP8		6	6	2272	0.3%	No
PPEF1		1	1	200	0.5%	No
FKBP3		2	2	1525	0.1%	No
PPEF2		1	1	200	0.5%	No
MTM1		1	1	200	0.5%	No
TPO		5	5	2122	0.2%	No
TPR		3	3	200	1.5%	Yes
BTLA		1	1	200	0.5%	Yes
MAP2K7		2	2	1525	0.1%	No
LINC02692		2	2	1525	0.1%	No
TCEANC		3	3	597	0.5%	No
SYNJ2		1	1	200	0.5%	No
COPS3		2	2	1525	0.1%	No
BCL9		2	1	200	0.5%	Yes
UBOX5		4	4	1525	0.3%	No
SYNJ1		5	5	597	0.8%	No
COPS2		3	3	597	0.5%	No
BCL3		2	2	1525	0.1%	Yes
COPS9		1	1	200	0.5%	No
COL14A1		2	2	1525	0.1%	No
CPQ		1	1	200	0.5%	No
MCM9		4	4	1525	0.3%	No
TRH		1	1	150	0.7%	No
SYNE4		3	3	597	0.5%	No
MTO1		1	1	200	0.5%	No
SYNE3		1	1	200	0.5%	No
SYNE1		8	8	597	1.3%	No
TRO		3	3	597	0.5%	No
VPS72		3	3	597	0.5%	No
CEP170B		2	2	1525	0.1%	No
PRKG2		1	1	200	0.5%	No
OIT3		5	5	2122	0.2%	No
GAL3ST3		2	2	1525	0.1%	No
PRKG1		1	1	200	0.5%	No
CR2		1	1	200	0.5%	No
CR1		3	3	597	0.5%	No
DIS3		9	9	597	1.5%	Yes
